	wl	u*	g'	i'	r'	z'		 
	650	0.0519	0.0046	0.0534	92.71	0.0076
	648	0.0641	0.0031	0.0427	93.47	0.0076
	646	0.0854	0.0031	0.0351	94.15	0.0076
	644	0.1175	0.0046	0.029	94.8	0.0076
	642	0.1678	0.0061	0.0244	95.39	0.0076
	640	0.2243	0.0076	0.0198	95.84	0.0076
	638	0.2625	0.0092	0.0168	96.13	0.0076
	636	0.264	0.0153	0.0137	96.22	0.0076
	634	0.2243	0.0244	0.0122	96.13	0.0076
	632	0.1678	0.0336	0.0107	95.87	0.0076
	630	0.1175	0.0381	0.0092	95.42	0.0076
	628	0.0854	0.0366	0.0061	94.81	0.0076
	626	0.0702	0.0305	0.0046	94.08	0.0076
	624	0.0671	0.0214	0.0031	93.29	0.0076
	622	0.0717	0.0137	0.0031	92.58	0.0076
	620	0.0839	0.0092	0.0031	91.95	0.0076
	618	0.1068	0.0076	0.0031	91.31	0.0076
	616	0.1404	0.0076	0.0031	90.57	0.0076
	614	0.1694	0.0076	0.0031	89.53	0.0076
	612	0.1846	0.0076	0.0031	88.16	0.0076
	610	0.1785	0.0107	0.0031	86.52	0.0076
	608	0.1556	0.0168	0.0031	84.71	0.0076
	606	0.1251	0.0275	0.0031	82.99	0.0076
	604	0.0977	0.0427	0.0031	81.48	0.0076
	602	0.0793	0.061	0.0031	80.33	0.0076
	600	0.0717	0.0778	0.0031	79.51	0.0076
	598	0.0687	0.0885	0.0031	78.9	0.0076
	596	0.0702	0.0946	0.0031	78.33	0.0076
	594	0.0778	0.0977	0.0031	77.63	0.0076
	592	0.0916	0.0992	0.0031	76.77	0.0076
	590	0.1129	0.1053	0.0031	75.93	0.0076
	588	0.1358	0.1266	0.0031	75.39	0.0076
	586	0.1511	0.177	0.0031	75.38	0.0076
	584	0.1556	0.2808	0.0031	75.97	0.0076
	582	0.1495	0.4669	0.0031	76.84	0.0076
	580	0.1389	0.795	0.0031	77.47	0.0076
	578	0.1312	1.384	0.0031	77.15	0.0076
	576	0.1343	2.396	0.0031	75.27	0.0076
	574	0.145	4.044	0.0031	71.45	0.0076
	572	0.1617	6.66	0.0031	65.68	0.0076
	570	0.1862	10.65	0.0031	58.37	0.0076
	568	0.2258	16.24	0.0031	50.15	0.0076
	566	0.2777	23.32	0.0031	41.73	0.0076
	564	0.3311	31.45	0.0031	33.72	0.0076
	562	0.3738	39.77	0.0031	26.52	0.0076
	560	0.3906	47.38	0.0031	20.32	0.0076
	558	0.3784	53.58	0.0031	15.19	0.0076
	556	0.3418	58.13	0.0031	11.09	0.0076
	554	0.2914	61.38	0.0031	7.93	0.0076
	552	0.2457	64.17	0.0031	5.579	0.0076
	550	0.2106	67.4	0.0031	3.889	0.0076
	548	0.1923	71.46	0.0031	2.708	0.0076
	546	0.1923	75.88	0.0031	1.901	0.0076
	544	0.2075	79.69	0.0031	1.36	0.0076
	542	0.2335	82.02	0.0031	0.9979	0.0076
	540	0.2579	82.66	0.0031	0.7553	0.0076
	538	0.2731	82.24	0.0031	0.589	0.0076
	536	0.2716	81.68	0.0031	0.47	0.0076
	534	0.2563	81.77	0.0031	0.386	0.0092
	532	0.2304	82.7	0.0031	0.322	0.0076
	530	0.1999	83.75	0.0031	0.2747	0.0076
	528	0.1846	84.29	0.0031	0.2396	0.0076
	526	0.1938	83.94	0.0031	0.2136	0.0061
	524	0.2365	82.77	0.0031	0.1968	0.0061
	522	0.3159	81.52	0.0031	0.1846	0.0061
	520	0.4257	80.73	0.0031	0.1785	0.0061
	518	0.56	80.64	0.0046	0.1785	0.0076
