# lambda(A)	T%
10450.00	0.264712495
10453.00	0.269295007
10456.00	0.245992489
10459.00	0.222787494
10462.00	0.210209989
10465.00	0.238485
10468.00	0.244042497
10471.00	0.217229997
10474.00	0.190319996
10477.00	0.151125004
10480.00	0.206797508
10483.00	0.154732498
10486.00	0.150052496
10489.00	0.145372495
10492.00	0.154050004
10495.00	0.139424995
10498.00	0.089641502
10501.00	0.109005001
10504.00	0.128700004
10507.00	0.084396001
10510.00	0.102960001
10513.00	0.093024749
10516.00	0.083820753
10519.00	0.074646001
10522.00	0.078653247
10525.00	0.068815502
10528.00	0.064116
10531.00	0.049100999
10534.00	0.034124999
10537.00	0.082650749
10540.00	0.036065249
10543.00	0.066797248
10546.00	0.053771251
10549.00	0.040696501
10552.00	0.026295749
10555.00	0.06488625
10558.00	0.038025
10561.00	0.0398775
10564.00	0.04173975
10567.00	0.02015325
10570.00	0.059748001
10573.00	0.027339001
10576.00	0.02797275
10579.00	0.028616249
10582.00	0.020757751
10585.00	0.038941501
10588.00	0.026637001
10591.00	0.032711249
10594.00	0.03879525
10597.00	0.02327325
10600.00	0.01679925
10603.00	0.047209499
10606.00	0.023936251
10609.00	0.000645742
10612.00	0.030371251
10615.00	0.01034475
10618.00	0.027085499
10621.00	0.0038961
10624.00	0
