# lambda    trans   
  16495.0   95.667  
  16500.0   95.682  
  16505.0   95.648  
  16510.0   95.641  
  16515.0   95.645  
  16520.0   95.628  
  16525.0   95.558  
  16530.0   95.541  
  16535.0   95.52   
  16540.0   95.503  
  16545.0   95.497  
  16550.0   95.486  
  16555.0   95.517  
  16560.0   95.543  
  16565.0   95.595  
  16570.0   95.657  
  16575.0   95.75   
  16580.0   95.767  
  16585.0   95.778  
  16590.0   95.792  
  16595.0   95.743  
  16600.0   95.776  
  16605.0   95.801  
  16610.0   95.877  
  16615.0   95.853  
  16620.0   95.914  
  16625.0   95.953  
  16630.0   95.996  
  16635.0   96.04   
  16640.0   96.03   
  16645.0   96.063  
  16650.0   95.99   
  16655.0   96.036  
  16660.0   96.048  
  16665.0   96.092  
  16670.0   96.066  
  16675.0   96.086  
  16680.0   96.158  
  16685.0   96.196  
  16690.0   96.291  
  16695.0   96.284  
  16700.0   96.309  
  16705.0   96.306  
  16710.0   96.364  
  16715.0   96.387  
  16720.0   96.375  
  16725.0   96.39   
  16730.0   96.385  
  16735.0   96.4    
  16740.0   96.44   
  16745.0   96.503  
  16750.0   96.581  
  16755.0   96.681  
  16760.0   96.751  
  16765.0   96.782  
  16770.0   96.812  
  16775.0   96.852  
  16780.0   96.883  
  16785.0   96.909  
  16790.0   96.889  
  16795.0   96.893  
  16800.0   96.88   
  16805.0   96.902  
  16810.0   96.95   
  16815.0   97.031  
  16820.0   97.084  
  16825.0   97.134  
  16830.0   97.214  
  16835.0   97.232  
  16840.0   97.278  
  16845.0   97.311  
  16850.0   97.299  
  16855.0   97.295  
  16860.0   97.244  
  16865.0   97.215  
  16870.0   97.183  
  16875.0   97.192  
  16880.0   97.214  
  16885.0   97.22   
  16890.0   97.299  
  16895.0   97.313  
  16900.0   97.368  
  16905.0   97.427  
  16910.0   97.478  
  16915.0   97.542  
  16920.0   97.623  
  16925.0   97.711  
  16930.0   97.725  
  16935.0   97.708  
  16940.0   97.71   
  16945.0   97.707  
  16950.0   97.708  
  16955.0   97.733  
  16960.0   97.745  
  16965.0   97.736  
  16970.0   97.72   
  16975.0   97.765  
  16980.0   97.806  
  16985.0   97.887  
  16990.0   97.957  
  16995.0   98.001  
  17000.0   97.899  
  17005.0   97.9    
  17010.0   97.874  
  17015.0   97.906  
  17020.0   97.849  
  17025.0   97.832  
  17030.0   97.829  
  17035.0   97.786  
  17040.0   97.847  
  17045.0   97.859  
  17050.0   97.931  
  17055.0   97.945  
  17060.0   97.972  
  17065.0   97.929  
  17070.0   97.884  
  17075.0   97.897  
  17080.0   97.852  
  17085.0   97.826  
  17090.0   97.763  
  17095.0   97.768  
  17100.0   97.874  
  17105.0   97.94   
  17110.0   98.0    
  17115.0   98.03   
  17120.0   98.096  
  17125.0   98.12   
  17130.0   98.244  
  17135.0   98.302  
  17140.0   98.285  
  17145.0   98.259  
  17150.0   98.248  
  17155.0   98.201  
  17160.0   98.218  
  17165.0   98.224  
  17170.0   98.204  
  17175.0   98.167  
  17180.0   98.155  
  17185.0   98.152  
  17190.0   98.132  
  17195.0   98.1    
  17200.0   98.108  
  17205.0   98.061  
  17210.0   97.993  
  17215.0   97.94   
  17220.0   97.856  
  17225.0   97.849  
  17230.0   97.865  
  17235.0   97.887  
  17240.0   97.849  
  17245.0   97.855  
  17250.0   97.852  
  17255.0   97.859  
  17260.0   97.913  
  17265.0   97.961  
  17270.0   97.943  
  17275.0   97.958  
  17280.0   98.007  
  17285.0   98.018  
  17290.0   98.016  
  17295.0   97.968  
  17300.0   97.94   
  17305.0   97.902  
  17310.0   97.878  
  17315.0   97.888  
  17320.0   97.879  
  17325.0   97.945  
  17330.0   97.974  
  17335.0   98.09   
  17340.0   98.131  
  17345.0   98.213  
  17350.0   98.248  
  17355.0   98.244  
  17360.0   98.19   
  17365.0   98.129  
  17370.0   98.128  
  17375.0   98.053  
  17380.0   97.99   
  17385.0   97.897  
  17390.0   97.884  
  17395.0   97.855  
  17400.0   97.829  
  17405.0   97.794  
  17410.0   97.742  
  17415.0   97.737  
  17420.0   97.748  
  17425.0   97.723  
  17430.0   97.623  
  17435.0   97.594  
  17440.0   97.603  
  17445.0   97.609  
  17450.0   97.586  
  17455.0   97.586  
  17460.0   97.559  
  17465.0   97.551  
  17470.0   97.58   
  17475.0   97.581  
