# lambda    trans    
  21735.0   86.603   
  21740.0   86.552   
  21745.0   86.514   
  21750.0   86.476   
  21755.0   86.526   
  21760.0   86.292   
  21765.0   86.316   
  21770.0   86.299   
  21775.0   86.191   
  21780.0   86.026   
  21785.0   85.986   
  21790.0   85.89    
  21795.0   85.773   
  21800.0   85.895   
  21805.0   85.652   
  21810.0   85.567   
  21815.0   85.393   
  21820.0   85.51    
  21825.0   85.745   
  21830.0   85.716   
  21835.0   85.892   
  21840.0   85.953   
  21845.0   85.973   
  21850.0   86.072   
  21855.0   86.301   
  21860.0   86.302   
  21865.0   86.002   
  21870.0   85.91    
  21875.0   85.8     
  21880.0   85.651   
  21885.0   85.609   
  21890.0   85.49    
  21895.0   85.316   
  21900.0   85.074   
  21905.0   85.004   
  21910.0   84.982   
  21915.0   84.711   
  21920.0   84.601   
  21925.0   84.679   
  21930.0   84.546   
  21935.0   84.509   
  21940.0   84.445   
  21945.0   84.308   
  21950.0   84.28    
  21955.0   84.245   
  21960.0   84.229   
  21965.0   83.928   
  21970.0   83.711   
  21975.0   83.559   
  21980.0   83.604   
  21985.0   83.58    
  21990.0   83.597   
  21995.0   83.586   
  22000.0   83.418   
  22005.0   83.554   
  22010.0   83.815   
  22015.0   84.001   
  22020.0   84.004   
  22025.0   84.093   
  22030.0   84.044   
  22035.0   84.116   
  22040.0   84.436   
  22045.0   84.366   
  22050.0   84.328   
  22055.0   84.158   
  22060.0   84.036   
  22065.0   84.023   
  22070.0   83.891   
  22075.0   83.839   
  22080.0   83.49    
  22085.0   83.429   
  22090.0   83.408   
  22095.0   83.658   
  22100.0   83.667   
  22105.0   83.516   
  22110.0   83.644   
  22115.0   83.635   
  22120.0   83.707   
  22125.0   83.752   
  22130.0   83.672   
  22135.0   83.531   
  22140.0   83.672   
  22145.0   83.568   
  22150.0   83.412   
  22155.0   83.25    
  22160.0   83.138   
  22165.0   82.956   
  22170.0   82.797   
  22175.0   82.526   
  22180.0   82.333   
  22185.0   82.309   
  22190.0   82.314   
  22195.0   82.292   
  22200.0   82.44    
  22205.0   82.43    
  22210.0   82.401   
  22215.0   82.494   
  22220.0   82.507   
  22225.0   82.652   
  22230.0   82.741   
  22235.0   82.964   
  22240.0   82.84    
  22245.0   83.038   
  22250.0   83.096   
  22255.0   83.148   
  22260.0   83.154   
  22265.0   83.058   
  22270.0   83.089   
  22275.0   83.0     
  22280.0   83.186   
  22285.0   83.299   
  22290.0   83.295   
  22295.0   83.324   
  22300.0   83.301   
  22305.0   83.279   
  22310.0   83.185   
  22315.0   83.197   
  22320.0   83.09    
  22325.0   82.863   
  22330.0   82.825   
  22335.0   82.683   
  22340.0   82.697   
  22345.0   82.835   
  22350.0   82.739   
  22355.0   82.66    
  22360.0   82.703   
  22365.0   82.864   
  22370.0   83.197   
  22375.0   83.261   
  22380.0   83.273   
  22385.0   83.331   
  22390.0   83.412   
  22395.0   83.467   
  22400.0   83.401   
  22405.0   83.272   
  22410.0   82.898   
  22415.0   82.82    
  22420.0   82.605   
  22425.0   82.413   
  22430.0   82.384   
  22435.0   82.376   
  22440.0   82.405   
  22445.0   82.471   
  22450.0   82.616   
  22455.0   82.674   
  22460.0   82.809   
  22465.0   82.704   
  22470.0   82.896   
  22475.0   82.849   
  22480.0   82.706   
  22485.0   82.617   
  22490.0   82.666   
  22495.0   82.671   
  22500.0   82.822   
  22505.0   83.058   
  22510.0   82.857   
  22515.0   82.726   
  22520.0   82.874   
  22525.0   82.843   
  22530.0   82.761   
  22535.0   82.809   
  22540.0   82.695   
  22545.0   82.539   
  22550.0   82.526   
  22555.0   82.526   
  22560.0   82.433   
  22565.0   82.385   
  22570.0   82.265   
  22575.0   82.272   
  22580.0   82.294   
  22585.0   82.326   
  22590.0   82.315   
  22595.0   82.236   
  22600.0   82.057   
  22605.0   81.972   
  22610.0   81.984   
  22615.0   81.866   
  22620.0   81.711   
  22625.0   81.81    
  22630.0   81.735   
  22635.0   81.822   
  22640.0   81.833   
  22645.0   81.778   
  22650.0   81.615   
  22655.0   81.349   
  22660.0   81.354   
  22665.0   81.052   
  22670.0   81.039   
  22675.0   80.949   
  22680.0   80.995   
  22685.0   81.038   
  22690.0   81.236   
  22695.0   81.25    
  22700.0   81.125   
  22705.0   81.029   
  22710.0   80.794   
  22715.0   80.783   
  22720.0   80.667   
  22725.0   80.621   
  22730.0   80.492   
  22735.0   80.688   
  22740.0   80.83    
  22745.0   81.079   
  22750.0   81.448   
  22755.0   81.569   
  22760.0   81.949   
  22765.0   82.12    
  22770.0   82.234   
  22775.0   82.118   
  22780.0   82.207   
  22785.0   82.158   
  22790.0   82.082   
  22795.0   82.033   
  22800.0   81.816   
  22805.0   81.708   
  22810.0   81.572   
  22815.0   81.487   
  22820.0   81.364   
  22825.0   81.337   
  22830.0   81.238   
  22835.0   81.306   
  22840.0   81.401   
  22845.0   81.462   
  22850.0   81.4     
  22855.0   81.645   
  22860.0   81.621   
  22865.0   81.511   
  22870.0   81.429   
  22875.0   81.277   
  22880.0   80.997   
  22885.0   80.945   
  22890.0   81.12    
  22895.0   81.087   
  22900.0   81.155   
  22905.0   81.253   
  22910.0   81.494   
  22915.0   81.613   
  22920.0   81.709   
  22925.0   81.746   
  22930.0   81.636   
  22935.0   81.491   
  22940.0   81.561   
  22945.0   81.7     
  22950.0   81.606   
  22955.0   81.552   
  22960.0   81.769   
  22965.0   81.819   
  22970.0   81.854   
  22975.0   81.979   
  22980.0   81.866   
  22985.0   81.807   
  22990.0   81.798   
  22995.0   81.683   
  23000.0   81.274   
  23005.0   81.094   
  23010.0   81.015   
  23015.0   80.785   
  23020.0   80.637   
  23025.0   80.264   
  23030.0   79.706   
  23035.0   79.277   
  23040.0   79.012   
  23045.0   78.549   
  23050.0   77.959   
  23055.0   77.28    
  23060.0   76.477   
  23065.0   75.81    
  23070.0   75.304   
  23075.0   74.477   
  23080.0   73.688   
  23085.0   72.798   
  23090.0   71.944   
  23095.0   70.885   
  23100.0   69.791   
  23105.0   68.33    
  23110.0   67.065   
  23115.0   65.593   
  23120.0   63.947   
  23125.0   62.17    
  23130.0   60.396   
  23135.0   58.821   
  23140.0   57.05    
  23145.0   55.463   
  23150.0   53.658   
  23155.0   51.92    
  23160.0   50.169   
  23165.0   48.456   
  23170.0   46.707   
  23175.0   44.713   
  23180.0   43.019   
  23185.0   41.269   
  23190.0   39.378   
  23195.0   37.793   
  23200.0   36.263   
  23205.0   34.663   
  23210.0   33.133   
  23215.0   31.604   
  23220.0   30.029   
  23225.0   28.484   
  23230.0   27.028   
  23235.0   25.609   
  23240.0   24.078   
  23245.0   22.711   
  23250.0   21.376   
  23255.0   20.303   
  23260.0   19.328   
  23265.0   18.254   
  23270.0   17.372   
  23275.0   16.621   
  23280.0   15.721   
  23285.0   14.841   
  23290.0   14.102   
  23295.0   13.293   
  23300.0   12.225   
  23305.0   11.694   
  23310.0   10.968   
  23315.0   10.226   
  23320.0   9.589    
  23325.0   9.178    
  23330.0   8.517    
  23335.0   8.098    
  23340.0   7.982    
  23345.0   7.487    
  23350.0   7.143    
  23355.0   6.764    
  23360.0   6.415    
  23365.0   5.934    
  23370.0   5.618    
  23375.0   5.275    
  23380.0   4.776    
  23385.0   4.442    
  23390.0   4.12     
  23395.0   3.703    
  23400.0   3.546    
  23405.0   3.418    
  23410.0   3.259    
  23415.0   3.076    
  23420.0   2.888    
  23425.0   2.76     
  23430.0   2.451    
  23435.0   2.452    
  23440.0   2.348    
  23445.0   2.24     
  23450.0   2.075    
  23455.0   1.874    
  23460.0   1.817    
  23465.0   1.793    
  23470.0   1.855    
  23475.0   1.859    
  23480.0   1.651    
  23485.0   1.562    
  23490.0   1.355    
  23495.0   1.505    
  23500.0   1.505    
  23505.0   1.361    
  23510.0   1.271    
  23515.0   1.07     
  23520.0   1.103    
  23525.0   1.045    
  23530.0   1.106    
  23535.0   1.027    
  23540.0   1.031    
  23545.0   0.88     
  23550.0   1.039    
  23555.0   0.949    
  23560.0   0.888    
  23565.0   0.766    
  23570.0   0.891    
  23575.0   0.861    
  23580.0   0.771    
  23585.0   0.771    
  23590.0   0.587    
  23595.0   0.558    
  23600.0   0.528    
  23605.0   0.467    
  23610.0   0.281    
  23615.0   0.218    
  23620.0   0.188    
  23625.0   0.124    
  23630.0   -0.063   
  23635.0   0.128    
  23640.0   0.096    
  23645.0   0.159    
  23650.0   0.191    
  23655.0   0.191    
  23660.0   0.191    
  23665.0   0.191    
  23670.0   0.471    
  23675.0   0.281    
  23680.0   0.313    
  23685.0   0.249    
  23690.0   0.374    
  23695.0   0.473    
  23700.0   0.443    
  23705.0   0.507    
  23710.0   0.221    
  23715.0   0.285    
  23720.0   0.188    
  23725.0   0.252    
  23730.0   0.127    
  23735.0   -0.0020  
  23740.0   0.128    
  23745.0   0.258    
  23750.0   0.224    
  23755.0   0.194    
  23760.0   0.194    
  23765.0   0.291    
  23770.0   0.388    
  23775.0   0.29     
  23780.0   0.226    
  23785.0   0.162    
  23790.0   0.293    
  23795.0   0.491    
  23800.0   0.491    
  23805.0   0.493    
  23810.0   0.363    
  23815.0   0.56     
  23820.0   0.462    
  23840.0   0.00
  23900.0   0.000
