3.52	0	0.01		0	0.01			
3.53	0	0.01		0	0.01			
3.54	0	0.01		0	0.01			
3.55	0	0.01		0	0.01			
3.56	0	0.01		0	0.01			
3.57	0	0.01		0	0.01			
3.58	0	0.01		0	0.01			
3.59	0	0.01		0	0.01			
3.60	0	0.01		0	0.01			
3.61	0	0.01		0	0.01			
3.62	0	0.01		0	0.01			
3.63	0	0.01		0	0.01			
3.64	0	0.01		0	0.01			
3.65	0	0.01		0	0.01			
3.66	0	0.01		0	0.01			
3.67	0	0.01		0	0.01			
3.68	0	0.01		0	0.01			
3.69	0	0		0	0			
3.70	0	0.01		0	0.01			
3.71	0	0		0	0			
3.72	0	0		0	0			
3.73	0	0		0	0			
3.74	0	0		0	0			
3.75	0	0		0	0			
3.76	0	0.01		0	0.01			
3.77	0	0		0	0			
3.78	-0.01	0		0	0			
3.79	0	0		0	0			
3.80	0	0		0	0			
3.81	0	0.01		0	0.01			
3.82	0	0.01		0	0.01			
3.83	0	0.01		0	0.01			
3.84	0	0.01		0	0.01			
3.85	0	0.01		0	0.01			
3.86	0	0.01		0	0.01			
3.87	0.01	0.01		0	0.01			
3.88	0	0.01		0	0.01			
3.89	0	0.01		0	0.01			
3.90	0	0.01		0	0.01			
3.91	0	0.01		0	0.01			
3.92	0	0.02		0	0.02			
3.93	0	0.02		0	0.02			
3.94	0	0.02		0	0.02			
3.95	0	0.02		0	0.02			
3.96	0	0.02		0	0.02			
3.97	0	0.01		0	0.01			
3.98	0	0.02		-0.01	0.02			
3.99	-0.01	0.02		-0.01	0.02			
4.00	0	0.02		0	0.02			
4.01	-0.01	0.01		-0.01	0.01			
4.02	0	0.01		0	0.01			
4.03	0	0.02		0	0.02			
4.04	0	0.02		0	0.02			
4.05	0	0.02		0	0.02			
4.06	0	0.01		0	0.01			
4.07	0	0.01		0	0.01			
4.08	0	0.02		0	0.02			
4.09	0	0.02		0	0.02			
4.10	0	0.01		0	0.01			
4.11	0	0		0	0			
4.12	0.01	0.01		0	0.01			
4.13	0	0		0.01	0			
4.14	0.01	0		0	0			
4.15	0.01	0		0	0			
4.16	0	0		0.01	0			
4.17	0	0		0.01	0			
4.18	0.01	0		0.01	0			
4.19	0.01	0		0.01	0			
4.20	0.01	0		0.01	0			
4.21	0.01	0.01		0.01	0.01			
4.22	0.02	0.01		0.01	0.01			
4.23	0.02	0.03		0.04	0.03			
4.24	0.05	0.02		0.03	0.02			
4.25	0.02	0		0.03	0			
4.26	0.02	0.01		0.02	0.01			
4.27	0.02	-0.01		0.03	-0.01			
4.28	0.04	-0.01		0.03	-0.01			
4.29	0.03	-0.01		0.02	-0.01			
4.30	0.02	-0.02		0.01	-0.02			
4.31	0.01	-0.01		0.01	-0.01			
4.32	0.01	-0.01		0	-0.01			
4.33	0.01	-0.01		0.01	-0.01			
4.34	0.01	-0.01		0.01	-0.01			
4.35	0.01	0		0.01	0			
4.36	0.01	-0.01		0.01	-0.01			
4.37	0.02	0		0.01	0			
4.38	0.01	-0.01		0.01	-0.01			
4.39	0.01	-0.02		0.01	-0.02			
4.40	0.01	-0.01		0.01	-0.01			
4.41	0.02	-0.02		0.01	-0.02			
4.42	0.01	-0.02		0.01	-0.02			
4.43	0.01	-0.02		0.01	-0.02			
4.44	0	-0.02		0.01	-0.02			
4.45	0.01	-0.02		0.01	-0.02			
4.46	0	-0.02		0.01	-0.02			
4.47	0.01	-0.02		0.01	-0.02			
4.48	0.01	-0.01		0.01	-0.01			
4.49	0.01	-0.01		0.01	-0.01			
4.50	0	-0.02		0	-0.02			
4.51	0.01	-0.02		0.01	-0.02			
4.52	0	-0.02		0	-0.02			
4.53	0.01	-0.02		0	-0.02			
4.54	0	-0.03		0	-0.03			
4.55	0	-0.03		0	-0.03			
4.56	0	-0.02		0	-0.02			
4.57	0	-0.01		0	-0.01			
4.58	0	-0.01		0	-0.01			
4.59	-0.01	-0.01		-0.01	-0.01			
4.60	-0.01	-0.01		-0.01	-0.01			
4.61	-0.01	0		-0.01	0			
4.62	0	0.01		-0.01	0.01			
4.63	-0.01	0		-0.01	0			
4.64	-0.01	0.01		-0.01	0.01			
4.65	-0.01	0.01		-0.01	0.01			
4.66	-0.01	0.01		-0.01	0.01			
4.67	-0.01	0		-0.01	0			
4.68	-0.01	0		-0.01	0			
4.69	-0.01	0		-0.01	0			
4.70	0	0		-0.01	0			
4.71	0	0		0	0			
4.72	0	0		-0.01	0		4.72	0
4.73	-0.01	0.01		-0.01	0.01		4.73	0
4.74	-0.01	0.01		-0.01	0.01		4.74	0
4.75	0	0.02		-0.01	0.02		4.75	0
4.76	-0.01	0.02		-0.01	0.02		4.76	0
4.77	-0.01	0.03		-0.01	0.03		4.77	0
4.78	-0.01	0.04		-0.01	0.04		4.78	0
4.79	-0.01	0.04		-0.01	0.04		4.79	0
4.80	-0.01	0.05		-0.01	0.05		4.8	0
4.81	-0.01	0.07		-0.01	0.07		4.81	0
4.82	-0.01	0.1		-0.01	0.1		4.82	0
4.83	-0.01	0.15		-0.01	0.15		4.83	0
4.84	-0.01	0.23		-0.01	0.23		4.84	0
4.85	-0.01	0.35		-0.01	0.35		4.85	0
4.86	0	0.53		0	0.53		4.86	0
4.87	0	0.8		0	0.8		4.87	0
4.88	0	1.09		0.01	1.09		4.88	0
4.89	0.01	1.35		0.01	1.35		4.89	0
4.90	0.01	1.56		0.02	1.56		4.9	0
4.91	0.02	1.71		0.02	1.71		4.91	0
4.92	0.03	1.86		0.03	1.86		4.92	0
4.93	0.05	2.06		0.06	2.06		4.93	0
4.94	0.08	2.33		0.08	2.33		4.94	0
4.95	0.11	2.74		0.13	2.74		4.95	0
4.96	0.18	3.34		0.2	3.34		4.96	0
4.97	0.27	4.22		0.29	4.22		4.97	0
4.98	0.4	5.53		0.42	5.53		4.98	0
4.99	0.53	7.45		0.56	7.45		4.99	0.01
5.00	0.67	10.33		0.69	10.33		5	0.01
5.01	0.78	14.6		0.8	14.6		5.01	0.01
5.02	0.88	20.89		0.89	20.89		5.02	0.01
5.03	0.98	29.51		0.99	29.51		5.03	0.01
5.04	1.08	40.55		1.11	40.55		5.04	0.01
5.05	1.23	53.1		1.26	53.1		5.05	0.01
5.06	1.43	65.15		1.47	65.15		5.06	0.02
5.07	1.72	74.55		1.77	74.55		5.07	0.02
5.08	2.13	80.3		2.2	80.3		5.08	0.02
5.09	2.72	82.34		2.83	82.34		5.09	0.03
5.10	3.59	82.1		3.76	82.1		5.1	0.04
5.11	4.89	80.75		5.14	80.75		5.11	0.06
5.12	6.85	79.05		7.24	79.05		5.12	0.08
5.13	9.82	77.55		10.42	77.55		5.13	0.11
5.14	14.29	76.66		15.19	76.66		5.14	0.16
5.15	20.93	76.44		22.22	76.44		5.15	0.24
5.16	29.9	76.44		31.56	76.44		5.16	0.34
5.17	40.87	77.47		42.71	77.47		5.17	0.47
5.18	52.18	79.06		53.81	79.06		5.18	0.6
