microns	transmission
2.435	0.941877426
2.436	0.941497707
2.437	0.941134369
2.438	0.940794612
2.439	0.94048472
2.44	0.940210056
2.441	0.93997507
2.442	0.939783322
2.443	0.939637511
2.444	0.939539523
2.445	0.939490469
2.446	0.939490746
2.447	0.939540081
2.448	0.939637596
2.449	0.939781862
2.45	0.939970953
2.451	0.940202507
2.452	0.940473779
2.453	0.940781698
2.454	0.941122917
2.455	0.941493868
2.456	0.941890809
2.457	0.942309876
2.458	0.942747125
2.459	0.943198581
2.46	0.943660274
2.461	0.944128287
2.462	0.944598784
2.463	0.945068053
2.464	0.945532529
2.465	0.94598883
2.466	0.946433775
2.467	0.946864409
2.468	0.947278017
2.469	0.947672142
2.47	0.94804459
2.471	0.948393437
2.472	0.948717033
2.473	0.949013994
2.474	0.949283207
2.475	0.94952381
2.476	0.949735188
2.477	0.949916958
2.478	0.95006895
2.479	0.950191192
2.48	0.950283887
2.481	0.950347398
2.482	0.950382221
2.483	0.950388967
2.484	0.950368343
2.485	0.950321127
2.486	0.950248151
2.487	0.950150283
2.488	0.950028408
2.489	0.949883415
2.49	0.94971618
2.491	0.949527559
2.492	0.949318373
2.493	0.949089402
2.494	0.948841379
2.495	0.948574987
2.496	0.948290854
2.497	0.947989554
2.498	0.947671609
2.499	0.947337491
2.5	0.946987623
2.501	0.946639592
2.502	0.946276564
2.503	0.945898857
2.504	0.94550677
2.505	0.945100591
2.506	0.944680605
2.507	0.944247102
2.508	0.943800386
2.509	0.943340786
2.51	0.942868659
2.511	0.942384399
2.512	0.941888447
2.513	0.941381292
2.514	0.940863479
2.515	0.940335612
2.516	0.939798356
2.517	0.939252442
2.518	0.938698662
2.519	0.938137875
2.52	0.937571002
2.521	0.93699902
2.522	0.936422968
2.523	0.935843931
2.524	0.935263042
2.525	0.934681476
2.526	0.934100437
2.527	0.933521157
2.528	0.932944884
2.529	0.932372876
2.53	0.931806392
2.531	0.931246682
2.532	0.930694981
2.533	0.9301525
2.534	0.929620416
2.535	0.929099867
2.536	0.928591943
2.537	0.928097679
2.538	0.92761805
2.539	0.927153966
2.54	0.926706264
2.541	0.926275705
2.542	0.925862974
2.543	0.92546867
2.544	0.925093313
2.545	0.924737334
2.546	0.92440108
2.547	0.924084811
2.548	0.923788703
2.549	0.923512849
2.55	0.923257259
2.551	0.923021867
2.552	0.922806529
2.553	0.92261103
2.554	0.922435089
2.555	0.922278362
2.556	0.922140446
2.557	0.922020887
2.558	0.921919185
2.559	0.9218348
2.56	0.921767157
2.561	0.921715653
2.562	0.921679665
2.563	0.921658553
2.564	0.921651672
2.565	0.921658371
2.566	0.921678007
2.567	0.921709943
2.568	0.921753561
2.569	0.921808264
2.57	0.921873481
2.571	0.921948673
2.572	0.922033336
2.573	0.922127008
2.574	0.922229267
2.575	0.922339739
2.576	0.922458096
2.577	0.922584061
2.578	0.922717408
2.579	0.922857961
2.58	0.923005596
2.581	0.923160238
2.582	0.923321861
2.583	0.923490485
2.584	0.923666174
2.585	0.923849035
2.586	0.92403921
2.587	0.924236874
2.588	0.924442233
2.589	0.924655517
2.59	0.924876973
2.591	0.925106863
2.592	0.925345457
2.593	0.92559303
2.594	0.925849849
2.595	0.926116177
2.596	0.926392259
2.597	0.926678321
2.598	0.926974565
2.599	0.927281158
2.6	0.927598232
2.601	0.92773592
2.602	0.927884141
2.603	0.928042874
2.604	0.928212048
2.605	0.92839153
2.606	0.928581127
2.607	0.928780582
2.608	0.928989571
2.609	0.929207702
2.61	0.92943451
2.611	0.92966946
2.612	0.929911945
2.613	0.930161286
2.614	0.930416731
2.615	0.930677456
2.616	0.930942569
2.617	0.931211111
2.618	0.931482055
2.619	0.931754316
2.62	0.932026747
2.621	0.932298151
2.622	0.93256728
2.623	0.932832845
2.624	0.933093518
2.625	0.933347945
2.626	0.933594745
2.627	0.933832527
2.628	0.934059891
2.629	0.934275441
2.63	0.934477794
2.631	0.934665588
2.632	0.934837494
2.633	0.934992224
2.634	0.935128543
2.635	0.93524528
2.636	0.935341334
2.637	0.935415689
2.638	0.935467421
2.639	0.935495707
2.64	0.935499836
2.641	0.935479214
2.642	0.935433372
2.643	0.935361975
2.644	0.935264824
2.645	0.935141861
2.646	0.934993176
2.647	0.934819003
2.648	0.934619725
2.649	0.934395873
2.65	0.934148124
2.651	0.933877296
2.652	0.933584348
2.653	0.93327037
2.654	0.93293658
2.655	0.932584314
2.656	0.932215019
2.657	0.93183024
2.658	0.931431615
2.659	0.931020859
2.66	0.930599754
2.661	0.930170138
2.662	0.929733889
2.663	0.929292916
2.664	0.928849144
2.665	0.928404502
2.666	0.92796091
2.667	0.927520266
2.668	0.927084435
2.669	0.926655238
2.67	0.926234438
2.671	0.925823734
2.672	0.925424747
2.673	0.925039015
2.674	0.924667981
2.675	0.92431299
2.676	0.923975277
2.677	0.923655967
2.678	0.923356067
2.679	0.923076463
2.68	0.922817917
2.681	0.922581064
2.682	0.92236641
2.683	0.922174336
2.684	0.92200509
2.685	0.921858795
2.686	0.921735448
2.687	0.921634919
2.688	0.921556958
2.689	0.921501197
2.69	0.921467152
2.691	0.921454229
2.692	0.921461728
2.693	0.921488846
2.694	0.921534687
2.695	0.921598263
2.696	0.921678502
2.697	0.921774256
2.698	0.921884302
2.699	0.922007357
2.7	0.922142076
2.701	0.922469537
2.702	0.922805854
2.703	0.92314957
2.704	0.923499197
2.705	0.923853223
2.706	0.924210124
