microns	reflection
0.992	0.988747681
0.993	0.988786721
0.994	0.988679619
0.995	0.988428691
0.996	0.988043661
0.997	0.987546974
0.998	0.986962218
0.999	0.98629149
1	0.98553432
1.001	0.984719121
1.002	0.983939918
1.003	0.983258671
1.004	0.982675228
1.005	0.982139559
1.006	0.981584749
1.007	0.980953858
1.008	0.980236259
1.009	0.979529111
1.01	0.979070049
1.011	0.979061718
1.012	0.979387236
1.013	0.979740417
1.014	0.979967092
1.015	0.980111664
1.016	0.980303101
1.017	0.980658409
1.018	0.981236735
1.019	0.982029715
1.02	0.982981524
1.021	0.984014907
1.022	0.985048175
1.023	0.986011235
1.024	0.986859558
1.025	0.987574618
1.026	0.988154717
1.027	0.98860601
1.028	0.988936989
1.029	0.989155865
1.03	0.989270075
1.031	0.989286455
1.032	0.989209809
1.033	0.989040202
1.034	0.98877305
1.035	0.988402054
1.036	0.987921058
1.037	0.987324431
1.038	0.986607644
1.039	0.985768846
1.04	0.984811581
1.041	0.983748634
1.042	0.98260666
1.043	0.981430484
1.044	0.980284833
1.045	0.979250222
1.046	0.978410205
1.047	0.977830522
1.048	0.977536358
1.049	0.977497769
1.05	0.977630594
1.051	0.977808505
1.052	0.977901567
1.053	0.977775852
1.054	0.977295201
1.055	0.976318335
1.056	0.974709452
1.057	0.972450767
1.058	0.970005791
1.059	0.968331308
1.06	0.967827546
1.061	0.968422723
1.062	0.970081162
1.063	0.972569063
1.064	0.975435999
1.065	0.978237636
1.066	0.980678236
1.067	0.982621767
1.068	0.984103997
1.069	0.985436434
1.07	0.986980615
1.071	0.988556468
1.072	0.989857031
1.073	0.99084974
1.074	0.991607488
1.075	0.992196548
1.076	0.992661723
1.077	0.993032284
1.078	0.993327813
1.079	0.993561833
1.08	0.993743929
1.081	0.993880994
1.082	0.99397799
1.083	0.994038435
1.084	0.994064707
1.085	0.994058251
1.086	0.994019704
1.087	0.993948974
1.088	0.993845278
1.089	0.993707147
1.09	0.993532404
1.091	0.993318122
1.092	0.993060558
1.093	0.992755068
1.094	0.99239601
1.095	0.991976642
1.096	0.991489034
1.097	0.990924018
1.098	0.990271232
1.099	0.989519332
1.1	0.988656502
1.101	0.987654665
1.102	0.986518428
1.103	0.985242989
1.104	0.983832056
1.105	0.982302305
1.106	0.980688068
1.107	0.979048846
1.108	0.977494436
1.109	0.976205155
1.11	0.975302733
1.111	0.974773539
1.112	0.974575044
1.113	0.974640632
1.114	0.974863564
1.115	0.975113391
1.116	0.975259382
1.117	0.975186227
1.118	0.974800405
1.119	0.974032865
1.12	0.972856681
1.121	0.971390734
1.122	0.97018774
1.123	0.970045889
1.124	0.970813686
1.125	0.971973606
1.126	0.973444657
1.127	0.975218389
1.128	0.977191462
1.129	0.979217914
1.13	0.981171683
1.131	0.982971742
1.132	0.984579934
1.133	0.985988455
1.134	0.987207136
1.135	0.988254126
1.136	0.989150129
1.137	0.989915238
1.138	0.99056737
1.139	0.991121488
1.14	0.99158899
1.141	0.991976628
1.142	0.992284808
1.143	0.992514229
1.144	0.992725292
1.145	0.993004963
1.146	0.993258342
1.147	0.993443103
1.148	0.993576679
1.149	0.993672435
1.15	0.993737036
1.151	0.993773861
1.152	0.993784659
1.153	0.993770231
1.154	0.993730714
1.155	0.993665697
1.156	0.993574251
1.157	0.993454914
1.158	0.993305625
1.159	0.993123612
1.16	0.992905197
1.161	0.992645479
1.162	0.992337764
1.163	0.99197249
1.164	0.991535038
1.165	0.991000922
1.166	0.990324497
1.167	0.989412954
1.168	0.988089953
1.169	0.98628618
1.17	0.985015885
1.171	0.98486446
1.172	0.984597579
1.173	0.983890464
1.174	0.982875086
1.175	0.981671637
1.176	0.98037319
1.177	0.979072544
1.178	0.977874042
1.179	0.976887754
1.18	0.976207525
1.181	0.975884682
1.182	0.975913719
1.183	0.976234307
1.184	0.976746089
1.185	0.977331222
1.186	0.977876656
1.187	0.978289513
1.188	0.97850445
1.189	0.97848637
1.19	0.978232909
1.191	0.977779624
1.192	0.977207486
1.193	0.976647305
1.194	0.976270407
1.195	0.976255004
1.196	0.976730923
1.197	0.977728474
1.198	0.979166121
1.199	0.980887109
1.2	0.982718858
1.201	0.984516024
1.202	0.986190747
1.203	0.987696616
1.204	0.989020165
1.205	0.990167657
1.206	0.991155164
1.207	0.992002303
1.208	0.992728763
1.209	0.993352634
1.21	0.993889769
1.211	0.994353696
1.212	0.994755784
1.213	0.995105507
1.214	0.995410731
1.215	0.995677978
1.216	0.995912657
1.217	0.996119262
1.218	0.996301537
1.219	0.996462604
1.22	0.996605081
1.221	0.996731166
1.222	0.996842709
1.223	0.996941274
1.224	0.997028185
1.225	0.997104559
1.226	0.997171344
1.227	0.997229341
1.228	0.997279221
1.229	0.997321549
1.23	0.997356791
1.231	0.997385329
1.232	0.997407465
1.233	0.997423436
1.234	0.997433411
1.235	0.997437499
1.236	0.997435751
1.237	0.997428161
1.238	0.997414666
1.239	0.997395146
1.24	0.99736942
1.241	0.997337245
1.242	0.997298309
1.243	0.997252226
1.244	0.997198528
1.245	0.997136657
1.246	0.997065952
1.247	0.996985634
1.248	0.996894793
1.249	0.996792363
1.25	0.996677103
1.251	0.996547562
1.252	0.996402049
1.253	0.996238591
1.254	0.996054883
1.255	0.995848236
1.256	0.995615505
1.257	0.995353024
1.258	0.99505652
1.259	0.994721028
1.26	0.994340818
1.261	0.993909325
1.262	0.993419137
1.263	0.992862058
1.264	0.992229337
1.265	0.991512149
1.266	0.990702494
1.267	0.989794727
1.268	0.988787933
1.269	0.987689337
1.27	0.986518669
1.271	0.985312802
1.272	0.984128992
1.273	0.983043941
1.274	0.982145585
1.275	0.981516508
1.276	0.98121252
1.277	0.981244871
1.278	0.981574997
1.279	0.982124546
1.28	0.982795032
1.281	0.983487581
1.282	0.984115868
1.283	0.984610672
1.284	0.984918326
1.285	0.984996516
1.286	0.984810515
1.287	0.984332519
1.288	0.983547016
1.289	0.982465813
1.29	0.98115553
1.291	0.979773093
1.292	0.978585246
1.293	0.977925675
1.294	0.978063438
1.295	0.979052434
1.296	0.980699494
1.297	0.982684973
1.298	0.984716585
1.299	0.98660666
1.3	0.988269814
1.301	0.989682856
1.302	0.990869451
1.303	0.991859443
1.304	0.992684754
1.305	0.993374518
1.306	0.993953503
1.307	0.994442039
1.308	0.994856522
1.309	0.995210079
1.31	0.995513196
1.311	0.995774264
1.312	0.996000017
1.313	0.996195887
1.314	0.996366276
1.315	0.99651477
1.316	0.996644305
1.317	0.996757297
1.318	0.996855743
1.319	0.996941298
1.32	0.997015339
1.321	0.997079015
1.322	0.997133281
1.323	0.997178935
1.324	0.99721664
1.325	0.997246942
1.326	0.997270289
1.327	0.997287041
1.328	0.997297483
1.329	0.997301831
1.33	0.997300238
1.331	0.997292798
1.332	0.997279554
1.333	0.997260496
1.334	0.997235562
1.335	0.997204643
1.336	0.997167579
1.337	0.997124159
1.338	0.997074117
1.339	0.997017133
1.34	0.996952829
1.341	0.996880762
1.342	0.99680042
1.343	0.99671122
1.344	0.996612494
1.345	0.99650349
1.346	0.996383359
1.347	0.996251148
1.348	0.996105789
1.349	0.995946094
1.35	0.995770746
1.351	0.995578288
1.352	0.995367127
1.353	0.995135526
1.354	0.994881619
1.355	0.994603425
1.356	0.994298881
1.357	0.993965898
1.358	0.993602443
1.359	0.99320666
1.36	0.992777039
1.361	0.992312641
1.362	0.9918134
1.363	0.991280479
1.364	0.99071671
1.365	0.99012704
1.366	0.989518978
1.367	0.988902896
1.368	0.988292099
1.369	0.987702482
1.37	0.987151662
1.371	0.986657528
1.372	0.986236304
1.373	0.985900394
1.374	0.985656423
1.375	0.98550393
1.376	0.985435027
1.377	0.985435112
1.378	0.985484434
1.379	0.985560129
1.38	0.985638323
1.381	0.985696006
1.382	0.985712572
1.383	0.985671106
1.384	0.985559632
1.385	0.985372567
1.386	0.985112573
1.387	0.984792753
1.388	0.98443874
1.389	0.984089636
1.39	0.983796218
1.391	0.983614967
1.392	0.983597798
1.393	0.983779922
1.394	0.984170504
1.395	0.984750508
1.396	0.98547876
1.397	0.986303112
1.398	0.987171761
1.399	0.988041117
1.4	0.9888792
1.401	0.989654202
1.402	0.990367905
1.403	0.991016156
1.404	0.991599394
1.405	0.992120809
1.406	0.992585032
1.407	0.992997271
1.408	0.993362786
1.409	0.993686578
1.41	0.993973241
1.411	0.994226902
1.412	0.994451212
1.413	0.994649369
1.414	0.994824156
